InstName_Correction_Notes_CC,StartDate,InstName,STANDARD_NAME,City,County,state,zip,SpeciesName,CHPPMSampleNo,Total,Males,FemFlat,FemPart,FemEng,NymFlat,NymPart,NymEng,LarvFlat,LarvPart,LarvEng,TestFor,Results
NA,2018-04-16T00:00:00Z,Inst_1,StdName_131,City_2253,NA,NA,92278,R. sanguineus,180073,1,0,1,0,0,0,0,0,0,0,0,RMSF,Negative
NA,2018-04-16T00:00:00Z,Inst_1,StdName_131,City_2253,NA,NA,92278,I. pacificus,180074,3,0,0,3,0,0,0,0,0,0,0,BAB,Negative
NA,2018-04-16T00:00:00Z,Inst_1,StdName_131,City_2253,NA,NA,92278,I. pacificus,180074,3,0,0,3,0,0,0,0,0,0,0,HGA,Negative
NA,2018-04-16T00:00:00Z,Inst_1,StdName_131,City_2253,NA,NA,92278,I. pacificus,180074,3,0,0,3,0,0,0,0,0,0,0,LD,Negative
NA,2000-01-07T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,A. americanum,000002,1,1,0,0,0,0,0,0,0,0,0,HME,Negative
NA,2000-01-07T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,A. americanum,000002,1,1,0,0,0,0,0,0,0,0,0,LD,Negative
NA,2000-03-07T00:00:00Z,Inst_2,StdName_1,City_876,County_436,State_41,21010,I. scapularis,000029,1,0,1,0,0,0,0,0,0,0,0,HGA,Negative
NA,2000-03-07T00:00:00Z,Inst_2,StdName_1,City_876,County_436,State_41,21010,I. scapularis,000029,1,0,1,0,0,0,0,0,0,0,0,LD,Negative
NA,2000-03-16T00:00:00Z,Inst_2,StdName_1,NA,County_436,State_41,21010,I. scapularis,000040,1,0,1,0,0,0,0,0,0,0,0,LD,Positive
NA,2000-03-16T00:00:00Z,Inst_2,StdName_1,NA,County_436,State_41,21010,I. scapularis,000040,1,0,1,0,0,0,0,0,0,0,0,HGA,Negative
NA,2000-03-14T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,I. scapularis,000041,1,0,1,0,0,0,0,0,0,0,0,LD,Positive
NA,2000-03-14T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,I. scapularis,000041,1,0,1,0,0,0,0,0,0,0,0,HGA,Negative
NA,2000-03-24T00:00:00Z,Inst_2,StdName_1,City_2909,County_703,State_22,21010,I. scapularis,000052,1,0,1,0,0,0,0,0,0,0,0,LD,Positive
NA,2000-03-24T00:00:00Z,Inst_2,StdName_1,City_2909,County_703,State_22,21010,I. scapularis,000052,1,0,1,0,0,0,0,0,0,0,0,HGA,Negative
NA,2000-03-24T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,A. americanum,000053,1,1,0,0,0,0,0,0,0,0,0,HME,Negative
NA,2000-03-24T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,A. americanum,000053,1,1,0,0,0,0,0,0,0,0,0,LD,Negative
NA,2000-03-24T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,I. scapularis,000054,1,0,0,1,0,0,0,0,0,0,0,LD,Negative
NA,2000-03-24T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,I. scapularis,000054,1,0,0,1,0,0,0,0,0,0,0,HGA,Negative
NA,2000-04-04T00:00:00Z,Inst_2,StdName_1,City_2180,County_164,State_41,21010,A. americanum,000063,2,0,0,0,0,2,0,0,0,0,0,HME,Negative
NA,2000-04-04T00:00:00Z,Inst_2,StdName_1,City_2180,County_164,State_41,21010,A. americanum,000063,2,0,0,0,0,2,0,0,0,0,0,LD,Negative
NA,2000-04-06T00:00:00Z,Inst_2,StdName_1,NA,County_436,State_41,21010,A. americanum,000065,1,0,1,0,0,0,0,0,0,0,0,HME,Negative
NA,2000-04-06T00:00:00Z,Inst_2,StdName_1,NA,County_436,State_41,21010,A. americanum,000065,1,0,1,0,0,0,0,0,0,0,0,LD,Negative
NA,2000-04-12T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,A. americanum,000083,1,0,0,0,0,0,1,0,0,0,0,LD,Negative
NA,2000-04-12T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,A. americanum,000083,1,0,0,0,0,0,1,0,0,0,0,HME,Negative
NA,2000-04-12T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,A. americanum,000084,1,1,0,0,0,0,0,0,0,0,0,HME,Negative
NA,2000-04-12T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,A. americanum,000084,1,1,0,0,0,0,0,0,0,0,0,LD,Negative
NA,2000-04-12T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,A. americanum,000085,1,0,1,0,0,0,0,0,0,0,0,HME,Negative
NA,2000-04-12T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,A. americanum,000085,1,0,1,0,0,0,0,0,0,0,0,LD,Negative
NA,2000-04-12T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,A. americanum,000086,1,0,1,0,0,0,0,0,0,0,0,HME,Negative
NA,2000-04-12T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,A. americanum,000086,1,0,1,0,0,0,0,0,0,0,0,LD,Negative
NA,2000-04-14T00:00:00Z,Inst_2,StdName_1,NA,NA,State_41,21010,A. americanum,000109,1,0,0,0,0,0,0,1,0,0,0,LD,Positive
NA,2000-04-14T00:00:00Z,Inst_2,StdName_1,NA,NA,State_41,21010,A. americanum,000109,1,0,0,0,0,0,0,1,0,0,0,HME,Negative
NA,2000-04-17T00:00:00Z,Inst_2,StdName_1,NA,NA,State_41,21010,A. americanum,000111,1,0,1,0,0,0,0,0,0,0,0,HME,Negative
NA,2000-04-17T00:00:00Z,Inst_2,StdName_1,NA,NA,State_41,21010,A. americanum,000111,1,0,1,0,0,0,0,0,0,0,0,LD,Negative
NA,2000-04-19T00:00:00Z,Inst_2,StdName_1,City_99,County_436,State_41,21010,D. variabilis,000184,1,1,0,0,0,0,0,0,0,0,0,RMSF,Negative
NA,2000-04-20T00:00:00Z,Inst_2,StdName_1,City_16,County_436,State_41,21010,I. scapularis,000191,0,0,1,0,0,0,0,0,0,0,0,LD,Positive
NA,2000-04-20T00:00:00Z,Inst_2,StdName_1,City_16,County_436,State_41,21010,I. scapularis,000191,0,0,1,0,0,0,0,0,0,0,0,HGA,Negative
NA,2000-04-20T00:00:00Z,Inst_2,StdName_1,NA,NA,NA,21010,A. americanum,000197,1,0,1,0,0,0,0,0,0,0,0,HME,Negative
NA,2000-04-20T00:00:00Z,Inst_2,StdName_1,NA,NA,NA,21010,A. americanum,000197,1,0,1,0,0,0,0,0,0,0,0,LD,Negative
NA,2000-04-21T00:00:00Z,Inst_2,StdName_1,NA,NA,NA,21010,A. americanum,000200,1,1,0,0,0,0,0,0,0,0,0,HME,Negative
