"","site","year","summer_temp","spring_temp","fall_temp","rh","precip","snow_depth","gdd","vpd","questing_days","forest_cover","shrub_cover","habitat_quality","host_density","host_movement","egg_survival","larval_survival","encounter_prob","tick_abundance","hair_loss_index"
"1",1,1,20.7419168942933,9.50303413362013,6.50696709652646,65.2293330365686,399.650273574901,39.7150750325475,1883.49954590282,0.851413129487858,44.1721307216856,0.828990595345385,0.201687148096971,0.886914594777827,5.82047200602152,16.3501093853722,0.867212225635222,1,0.868619901263492,402,0.154357356565111
"2",2,1,16.8706036572078,10.8446407716648,8.07321224086385,71.3761120510759,283.949850090969,38.1092829712563,1416.58109903741,0.550301694254274,54.1401173975404,0.851261280407198,0.121601999527775,0.0991045659119014,2.00851281734156,15.1822484830822,0.745826933405133,1,0.728271357336859,66,0.0399873159051068
"3",3,1,18.7262568226747,11.9753065872793,8.6466192484061,69.381440549751,323.390411495061,43.8949377160719,1631.38143148341,0.661622002959955,58.6345113322098,0.776134662958793,0.555466792918742,0.317107149252264,2.70017636571047,18.3480771278303,0.80678512639769,1,0.815551173014175,46,0.0619390463651037
"4",4,1,19.2657252099221,11.67113634407,8.75935206480318,69.604956916119,288.135422625087,32.7699408281153,1691.63020025851,0.679273880182332,47.354473062571,0.829982252395712,0.237306055286899,0.959095595305815,7.06513982913695,21.7840893116515,0.808293343962596,1,0.932728695420788,238,0.121545614926126
"5",5,1,18.808536646282,8.67895628190859,9.75311299159072,56.5758144761127,315.146072937383,66.7364069832008,1652.32073941387,0.943170545051723,57.0088122356828,0.802807419467717,0.126314556016587,0.757105997282063,4.82589208357843,15.4094927243873,0.804371822015081,1,0.873084034076235,47,0.0413347843495204
"6",6,1,17.787750967817,13.1281389865837,9.86677597513927,73.805336761737,329.645335200283,36.8081483274499,1563.60739838872,0.53365641205025,61.9928102969487,0.669617631845176,0.342625283775851,-0.455593727895449,1.74827325222692,17.0708326816662,0.78686099687706,1,0.775182220310455,112,0.0619972624754944
"7",7,1,21.0230439948779,6.75404812941691,3.14238495463516,82.589516719761,313.871566120182,69.1898440629742,1978.66326333041,0.433754915777925,37.6950120001673,0.76179366549477,0.453756080381572,0.279628417868554,2.74034276507084,19.4792742515175,0.853691131995753,1,0.716449373364863,235,0.0724083996802166
"8",8,1,17.8106819231738,11.727792746958,11.4559880468423,84.2508996841885,298.715001812836,28.1858411772926,1567.84755544602,0.321315607748928,54.1465312491227,0.622423811792396,0.43933839504607,0.0240168178686892,1.51160548351134,19.0022200863727,0.778367757882798,1,0.736525755654593,377,0.137026757828587
"9",9,1,22.0368474277541,8.9767944531276,8.91200529255442,91.5948198871809,291.726359174398,62.6334315379028,2045.79244597928,0.222799700198062,49.3178859082268,0.764769381470978,0.368144696136005,0.106472485906095,3.32696970829022,16.5925986496725,0.867618919023049,1,0.78705386149551,42,0.0471920033532469
"10",10,1,17.8745718018952,6.1652699491092,6.8592793085087,77.1223197625717,322.042650641697,40.951774882809,1508.89486605309,0.468635136023241,45.9630555643172,0.203492293343879,0.23683619746007,-1.523453564912,0.392052113176774,15.0249916395092,0.786931193354331,1,0.561624316524413,341,0.156702057137448
"11",11,1,20.609739308447,6.2683723027601,5.77075119564406,66.5839693668763,307.956727558594,51.9733254101381,1900.44934167056,0.811609844125193,48.1834762402685,0.313682805583812,0.105169676733203,-2.80213404825816,0.3973501154074,18.1003852844127,0.842229348601638,1,0.615319514337971,45,0.0384464941280362
"12",12,1,22.5732907854022,10.4903581268794,9.81012853112779,79.018737889749,287.333082273844,61.4666683501938,2152.65364086327,0.574600510403133,50.3437696685624,0.53960945662111,0.135837074392475,-0.672392095040937,1.66977525583224,20.1344209983327,0.874096579345905,1,0.734576351355368,203,0.081561456115378
"13",13,1,15.2222785977753,14.4470686038161,8.65619203096827,83.7987601849749,342.641736178732,36.2429725011211,1221.13462911449,0.28035769218149,58.4687794885194,0.22586019244045,0.336447657924145,-1.34786061164852,0.952216525980367,13.9648189212156,0.722603135717507,1,0.676551636035289,47,0.0548530827688853
"14",14,1,17.4424224663653,10.5467521282889,10.1561799200956,90.0920386433134,344.223689634827,53.5609177271446,1487.38564791236,0.197503526519529,65.7862715281819,0.27697993721813,0.283973136008717,-0.290127946782562,1.86942112232629,13.7540022104002,0.785314584328039,1,0.772435464424865,144,0.0426148334256746
"15",15,1,17.7333573272127,12.2615695890566,7.879368892595,81.4900280055152,330.214216252582,49.3296640008191,1565.30172334541,0.375808467485368,50.8120933749305,0.888872894877568,0.427370699727908,0.59090108991135,2.29936529374464,18.44993671791,0.786742339875058,1,0.75706758000587,18,0.0464330850871332
"16",16,1,19.2719007961401,11.6773387481202,7.51296247607375,86.3459504703517,253.935204726757,33.2217454465628,1718.19572048231,0.305260490857563,57.2593524229157,0.408433143957518,0.204927416308783,0.215536389438513,3.73108691975286,14.5462058554919,0.800024118608459,1,0.826986241983372,6,0.0370396330904923
"17",17,1,17.4314941571679,8.69076944424359,12.4828451213766,78.5133592136236,344.148181957466,58.6505753423601,1559.90996723876,0.428015340381791,72.3140300458846,0.389920501969755,0.353228860674426,-0.659030734720623,1.75885111023934,23.3621082980189,0.783452391799569,1,0.865899769064009,243,0.0779431158064135
"18",18,1,12.6870891581904,11.9079219569588,3.92801405828834,64.7799871311912,345.548970632657,15.4738668493423,920.904051386178,0.516983327021248,41.6982118243117,0.697095019626431,0.525033374107443,1.02893679356409,5.50582359271169,27.6616340162817,0.639566235476859,1,0.907692069626343,226,0.108285854103741
"19",19,1,13.119066142849,10.7059029309786,8.78182893016568,68.1090143583085,303.012276868257,73.1601707628423,925.821472266,0.481544502933241,54.5458500361525,0.867607611743733,0.569231992261484,1.12672188182419,7.27621578774324,19.0587093418383,0.635207425075262,1,0.94115360038723,117,0.0825314722016883
"20",20,1,20.6402266914604,10.4131985852992,8.76962668579931,90.0958869997687,353.217924326933,67.9448185845418,1908.56587817366,0.241003688646455,55.3579586297603,0.227784759388305,0.14813185124658,-2.86525774478113,0.350093693646976,12.0874959212745,0.857273856315954,1,0.591493208776622,214,0.0605822893073809
"21",21,1,17.3867228118431,12.0022264686205,8.87739119908279,80.6326985054632,395.861373948625,46.9748468020312,1497.26358010662,0.384708407949866,47.2444081259015,0.236832464206964,0.26298456559889,-2.30000483516124,0.497850274760214,18.8655550872353,0.799687572743748,1,0.624798288502473,318,0.111548259047182
"22",22,1,14.43738313204,11.4949039832806,9.11628180409314,69.6582357973438,339.668147791678,43.5159263022105,1124.50967467228,0.499148250450129,60.1505930752173,0.422678282577544,0.259865782945417,-0.668737025509227,1.93730725446612,15.7574360171683,0.695291973546502,1,0.76379182706541,15,0.0313777980331711
"23",23,1,17.6561652884808,8.74685032655372,7.44718723404511,69.3542852635428,365.906382398564,55.2042296583545,1481.06639256563,0.619181009079144,54.018485439298,0.50666804171633,0.141339950170368,-0.866128460395926,1.57478492486814,14.892659832498,0.795022519324432,1,0.697964363085065,275,0.127529238078127
"24",24,1,20.4293493983452,10.7904473718734,10.3325761579645,67.634251360685,396.954407528615,42.7193309933112,1877.81645281659,0.77740622695234,60.2326145860702,0.315753190894611,0.541680824616924,0.621909161173671,3.7083868892261,13.4149133568448,0.861429616803525,1,0.830649890927307,819,0.3295153129444
"25",25,1,21.7903869225299,8.21566409190885,3.09144553012523,76.1877863359682,419.533216029761,47.0704087964787,2032.62547071031,0.621783161917994,25.6818993039431,0.513746769749559,0.29429091620259,-0.419046493358774,3.47484321419009,19.8777506868232,0.889215539744951,1,0.691426646681455,270,0.130809051919233
"26",26,1,17.1390617367876,11.2616368201835,6.38886748109087,72.9998611109378,291.156211211905,53.4469611757376,1464.83317884079,0.527990949248598,50.6276913762264,0.274243769585155,0.55052770874463,0.519443928201131,4.87044941128751,12.384692994912,0.756217397883438,1,0.831906574383681,225,0.0627341724986548
"27",27,1,17.4854612344621,9.13458963343087,7.76171089875995,67.4658483671096,295.529929124775,48.5801936294473,1544.85355227075,0.650294744655694,56.1117437357224,0.596683300868608,0.384404842182994,1.27378868360169,8.43443670997326,12.7247251969814,0.766359407260451,1,0.945314525877151,732,0.396435399790546
"28",28,1,14.4736738296104,10.904277288437,8.32643246827759,84.7135921491114,300.264872496255,75.6529931072775,1104.92665326304,0.252065411001972,50.6082025839911,0.409909830382094,0.548187190922908,0.298905901426539,3.12578232715401,15.6853305643758,0.681678921458587,1,0.77560705815612,136,0.0587015516070052
"29",29,1,18.9201947096625,10.7359980903927,8.81295901552583,75.1485314640018,386.064595271037,44.9637649861823,1676.62804007991,0.543549501497232,61.4840463866135,0.319021940347739,0.10449754926376,-0.937178656257674,0.768624025525033,16.7789242738251,0.83039318736265,1,0.713829185756357,121,0.0532965441018671
"30",30,1,16.7200102480798,9.45922502067618,9.27867999128862,81.0626535956604,354.903077646963,36.8701276349698,1398.9332320999,0.360611873067376,60.7213155204916,0.83109314602334,0.343346553295851,0.560885657588783,3.9622302280269,21.4682288751533,0.769126092249378,1,0.889310747931193,183,0.0701351922890441
